x,y,z
-0.1062990628399828,-0.1280382368454251,-0.1659700242601525
-0.10461233320146611,-0.12686804913592076,-0.1512465985237827
-0.10427377213978767,-0.1266331685811205,-0.14829130649889571
-0.10405936361747452,-0.12648442025068596,-0.14641973924624543
-0.10389855212324618,-0.12637285546294766,-0.14501601926720498
-0.10376815076161743,-0.12628238804766304,-0.14387774866353503
-0.10365750079712066,-0.12620562338689317,-0.1429118875689065
-0.10356077631076113,-0.1261385196836313,-0.14206758166517233
-0.10347442897685628,-0.1260786152469174,-0.14131385769587065
-0.1033961300625354,-0.12602429449205926,-0.14063038820324011
-0.10332426503716428,-0.12597443732022084,-0.14000307998505743
-0.10325766638888606,-0.12592823375688433,-0.13942174185612682
-0.1031954611974122,-0.12588507820375486,-0.13887875411454217
-0.10313697884506448,-0.12584450541225498,-0.13836826295341154
-0.1030816924003165,-0.12580614981769558,-0.13788566879908656
-0.1030291798926297,-0.12576971867325656,-0.13742728828006215
-0.10297909786994475,-0.1257349737051984,-0.136990123410903
-0.10293116282879358,-0.12570171822979273,-0.13657169949610193
-0.10288513785372666,-0.12566978788427458,-0.1361699485059362
-0.1028408227999888,-0.1256390438159628,-0.13578312338126083
-0.10279804694489739,-0.12560936758407093,-0.13540973388755287
-0.10275666339609976,-0.12558065728037268,-0.13504849780471204
-0.102716544773893,-0.12555282453376257,-0.13469830323812693
-0.10267757983316055,-0.12552579216668638,-0.1343581791316335
-0.10263967078884688,-0.125499492339659,-0.13402727192164357
-0.10260273117547225,-0.12547386506627878,-0.13370482685289503
-0.10256668411710303,-0.12544885701299968,-0.1333901728770625
-0.10253146091639889,-0.12542442052026714,-0.13308271033658065
-0.10249699989429778,-0.12540051279753622,-0.1327819008362796
-0.10246324542847432,-0.1253770952561914,-0.13248725885011062
-0.10243014715083919,-0.12535413295280265,-0.13219834471613526
-0.10239765927333386,-0.12533159412138803,-0.13191475875140263
-0.10236574001800708,-0.1253094497780226,-0.1316361362770994
-0.10233435113245445,-0.12528767338466948,-0.13136214338883315
-0.10230345747559579,-0.1252662405618079,-0.13109247334089139
-0.10227302666176609,-0.12524512884151762,-0.13082684343952042
-0.10224302875343017,-0.1252243174542959,-0.1305649923606369
-0.10221343599465875,-0.12520378714415378,-0.1303066778233477
-0.10218422257894813,-0.1251835200075383,-0.1300516745632525
-0.10215536444611212,-0.12516349935242393,-0.1297997725595177
